session	condition	response	item	baseline
2	Cued	1.0	1112	-1.9375
2	Cued	2.0	1300	0.0625
2	Cued	3.0	2095	1.0625
2	Cued	1.0	2717	0.0625
2	Cued	3.0	2799	-0.9375
2	Cued	4.0	2800	0.0625
2	Cued	2.0	3016	1.0625
2	Cued	1.0	3210	-1.9375
2	Cued	1.0	3230	-0.9375
2	Cued	2.0	3261	-0.9375
2	Cued	5.0	3301	2.0625
2	Cued	1.0	6000	0.0625
2	Cued	1.0	6242	-0.9375
2	Cued	4.0	6550	2.0625
2	Cued	3.0	6560	0.0625
2	Cued	2.0	9050	-0.9375
2	Cued	5.0	9252	2.0625
2	Cued	5.0	9410	2.0625
2	Cued	3.0	9420	1.0625
2	Cued	2.0	9424	0.0625
2	Cued	3.0	9425	1.0625
2	Cued	1.0	9622	1.0625
2	Cued	1.0	9630	-0.9375
2	Cued	1.0	9921	-0.9375
3	Cued	1.0	1112	-1.9375
3	Cued	1.0	1300	0.0625
3	Cued	2.0	2095	1.0625
3	Cued	1.0	2717	0.0625
3	Cued	1.0	2799	-0.9375
3	Cued	3.0	2800	0.0625
3	Cued	4.0	3016	1.0625
3	Cued	2.0	3210	-1.9375
3	Cued	1.0	3230	-0.9375
3	Cued	2.0	3261	-0.9375
3	Cued	4.0	3301	2.0625
3	Cued	1.0	6000	0.0625
3	Cued	1.0	6242	-0.9375
3	Cued	4.0	6550	2.0625
3	Cued	1.0	6560	0.0625
3	Cued	1.0	9050	-0.9375
3	Cued	2.0	9252	2.0625
3	Cued	4.0	9410	2.0625
3	Cued	2.0	9420	1.0625
3	Cued	2.0	9424	0.0625
3	Cued	2.0	9425	1.0625
3	Cued	1.0	9622	1.0625
3	Cued	1.0	9630	-0.9375
3	Cued	1.0	9921	-0.9375
2	Uncued	1.0	1930	-1.9375
2	Uncued	5.0	3051	1.0625
2	Uncued	4.0	3068	1.0625
2	Uncued	3.0	3170	2.0625
2	Uncued	1.0	3215	-1.9375
2	Uncued	4.0	3225	1.0625
2	Uncued	5.0	6021	1.0625
2	Uncued	2.0	6315	-0.9375
2	Uncued	3.0	6834	-0.9375
2	Uncued	1.0	8485	-1.9375
2	Uncued	1.0	9000	-1.9375
2	Uncued	1.0	9041	0.0625
2	Uncued	1.0	9230	-1.9375
2	Uncued	4.0	9253	1.0625
2	Uncued	3.0	9254	-0.9375
2	Uncued	2.0	9301	0.0625
2	Uncued	2.0	9320	-0.9375
2	Uncued	2.0	9405	-0.9375
2	Uncued	5.0	9423	1.0625
2	Uncued	2.0	9429	0.0625
2	Uncued	2.0	9571	-0.9375
2	Uncued	3.0	9582	2.0625
2	Uncued	4.0	9800	2.0625
2	Uncued	1.0	9900	-0.9375
3	Uncued	1.0	1930	-1.9375
3	Uncued	4.0	3051	1.0625
3	Uncued	2.0	3068	1.0625
3	Uncued	3.0	3170	2.0625
3	Uncued	1.0	3215	-1.9375
3	Uncued	3.0	3225	1.0625
3	Uncued	4.0	6021	1.0625
3	Uncued	2.0	6315	-0.9375
3	Uncued	2.0	6834	-0.9375
3	Uncued	2.0	8485	-1.9375
3	Uncued	2.0	9000	-1.9375
3	Uncued	3.0	9041	0.0625
3	Uncued	1.0	9230	-1.9375
3	Uncued	4.0	9253	1.0625
3	Uncued	1.0	9254	-0.9375
3	Uncued	1.0	9301	0.0625
3	Uncued	1.0	9320	-0.9375
3	Uncued	1.0	9405	-0.9375
3	Uncued	4.0	9423	1.0625
3	Uncued	3.0	9429	0.0625
3	Uncued	1.0	9571	-0.9375
3	Uncued	4.0	9582	2.0625
3	Uncued	4.0	9800	2.0625
3	Uncued	1.0	9900	-0.9375
