session	condition	response	item	baseline
2	Cued	3.0	1300	0.4791666666666665
2	Cued	3.0	2095	-0.5208333333333335
2	Cued	3.0	2717	-1.5208333333333337
2	Cued	3.0	2799	-1.5208333333333337
2	Cued	3.0	3016	1.4791666666666663
2	Cued	4.0	3068	1.4791666666666663
2	Cued	5.0	3170	-0.5208333333333335
2	Cued	3.0	3225	-0.5208333333333335
2	Cued	2.0	6000	-0.5208333333333335
2	Cued	3.0	6242	0.4791666666666665
2	Cued	3.0	6550	-0.5208333333333335
2	Cued	5.0	6834	1.4791666666666663
2	Cued	1.0	9000	-0.5208333333333335
2	Cued	4.0	9041	-0.5208333333333335
2	Cued	4.0	9230	-1.5208333333333337
2	Cued	5.0	9252	2.4791666666666665
2	Cued	4.0	9253	1.4791666666666663
2	Cued	3.0	9254	0.4791666666666665
2	Cued	5.0	9320	0.4791666666666665
2	Cued	3.0	9405	1.4791666666666663
2	Cued	4.0	9424	1.4791666666666663
2	Cued	2.0	9425	-1.5208333333333337
2	Cued	4.0	9900	-0.5208333333333335
2	Cued	2.0	9921	0.4791666666666665
3	Cued	3.0	1300	0.4791666666666665
3	Cued	3.0	2095	-0.5208333333333335
3	Cued	2.0	2717	-1.5208333333333337
3	Cued	2.0	2799	-1.5208333333333337
3	Cued	2.0	3016	1.4791666666666663
3	Cued	5.0	3068	1.4791666666666663
3	Cued	5.0	3170	-0.5208333333333335
3	Cued	4.0	3225	-0.5208333333333335
3	Cued	3.0	6000	-0.5208333333333335
3	Cued	2.0	6242	0.4791666666666665
3	Cued	2.0	6550	-0.5208333333333335
3	Cued	5.0	6834	1.4791666666666663
3	Cued	2.0	9000	-0.5208333333333335
3	Cued	2.0	9041	-0.5208333333333335
3	Cued	3.0	9230	-1.5208333333333337
3	Cued	3.0	9252	2.4791666666666665
3	Cued	4.0	9253	1.4791666666666663
3	Cued	3.0	9254	0.4791666666666665
3	Cued	3.0	9320	0.4791666666666665
3	Cued	2.0	9405	1.4791666666666663
3	Cued	3.0	9424	1.4791666666666663
3	Cued	1.0	9425	-1.5208333333333337
3	Cued	2.0	9900	-0.5208333333333335
3	Cued	3.0	9921	0.4791666666666665
2	Uncued	2.0	1112	-1.5208333333333337
2	Uncued	2.0	1930	-1.5208333333333337
2	Uncued	4.0	2800	-1.5208333333333337
2	Uncued	3.0	3051	0.4791666666666665
2	Uncued	3.0	3210	0.4791666666666665
2	Uncued	3.0	3215	0.4791666666666665
2	Uncued	3.0	3230	0.4791666666666665
2	Uncued	4.0	3261	1.4791666666666663
2	Uncued	5.0	3301	2.4791666666666665
2	Uncued	3.0	6021	-0.5208333333333335
2	Uncued	n/a	6315	-1.5208333333333337
2	Uncued	3.0	6560	-1.5208333333333337
2	Uncued	4.0	8485	0.4791666666666665
2	Uncued	4.0	9050	-0.5208333333333335
2	Uncued	5.0	9301	1.4791666666666663
2	Uncued	4.0	9410	2.4791666666666665
2	Uncued	4.0	9420	-0.5208333333333335
2	Uncued	3.0	9423	-0.5208333333333335
2	Uncued	2.0	9429	-1.5208333333333337
2	Uncued	3.0	9571	0.4791666666666665
2	Uncued	3.0	9582	-0.5208333333333335
2	Uncued	n/a	9622	-1.5208333333333337
2	Uncued	2.0	9630	-0.5208333333333335
2	Uncued	5.0	9800	-0.5208333333333335
3	Uncued	1.0	1112	-1.5208333333333337
3	Uncued	2.0	1930	-1.5208333333333337
3	Uncued	3.0	2800	-1.5208333333333337
3	Uncued	2.0	3051	0.4791666666666665
3	Uncued	2.0	3210	0.4791666666666665
3	Uncued	2.0	3215	0.4791666666666665
3	Uncued	2.0	3230	0.4791666666666665
3	Uncued	4.0	3261	1.4791666666666663
3	Uncued	2.0	3301	2.4791666666666665
3	Uncued	1.0	6021	-0.5208333333333335
3	Uncued	3.0	6315	-1.5208333333333337
3	Uncued	1.0	6560	-1.5208333333333337
3	Uncued	1.0	8485	0.4791666666666665
3	Uncued	2.0	9050	-0.5208333333333335
3	Uncued	3.0	9301	1.4791666666666663
3	Uncued	3.0	9410	2.4791666666666665
3	Uncued	4.0	9420	-0.5208333333333335
3	Uncued	4.0	9423	-0.5208333333333335
3	Uncued	3.0	9429	-1.5208333333333337
3	Uncued	2.0	9571	0.4791666666666665
3	Uncued	1.0	9582	-0.5208333333333335
3	Uncued	1.0	9622	-1.5208333333333337
3	Uncued	1.0	9630	-0.5208333333333335
3	Uncued	2.0	9800	-0.5208333333333335
