session	condition	response	item	baseline
2	Cued	1.0	1112	-1.6041666666666663
2	Cued	1.0	1300	1.3958333333333337
2	Cued	1.0	2717	-1.6041666666666663
2	Cued	1.0	3068	0.3958333333333335
2	Cued	3.0	3210	-1.6041666666666663
2	Cued	1.0	3215	-1.6041666666666663
2	Cued	2.0	6560	1.3958333333333337
2	Cued	1.0	6834	1.3958333333333337
2	Cued	4.0	8485	-1.6041666666666663
2	Cued	1.0	9000	-1.6041666666666663
2	Cued	1.0	9050	-1.6041666666666663
2	Cued	3.0	9230	-0.6041666666666665
2	Cued	4.0	9252	-1.6041666666666663
2	Cued	2.0	9301	2.395833333333333
2	Cued	1.0	9320	2.395833333333333
2	Cued	1.0	9405	0.3958333333333335
2	Cued	3.0	9410	1.3958333333333337
2	Cued	2.0	9420	0.3958333333333335
2	Cued	1.0	9429	-1.6041666666666663
2	Cued	1.0	9622	0.3958333333333335
2	Cued	1.0	9630	-0.6041666666666665
2	Cued	2.0	9800	2.395833333333333
2	Cued	1.0	9900	-0.6041666666666665
2	Cued	1.0	9921	0.3958333333333335
3	Cued	1.0	1112	-1.6041666666666663
3	Cued	2.0	1300	1.3958333333333337
3	Cued	n/a	2717	-1.6041666666666663
3	Cued	2.0	3068	0.3958333333333335
3	Cued	2.0	3210	-1.6041666666666663
3	Cued	2.0	3215	-1.6041666666666663
3	Cued	2.0	6560	1.3958333333333337
3	Cued	2.0	6834	1.3958333333333337
3	Cued	n/a	8485	-1.6041666666666663
3	Cued	4.0	9000	-1.6041666666666663
3	Cued	1.0	9050	-1.6041666666666663
3	Cued	3.0	9230	-0.6041666666666665
3	Cued	4.0	9252	-1.6041666666666663
3	Cued	2.0	9301	2.395833333333333
3	Cued	1.0	9320	2.395833333333333
3	Cued	2.0	9405	0.3958333333333335
3	Cued	2.0	9410	1.3958333333333337
3	Cued	2.0	9420	0.3958333333333335
3	Cued	2.0	9429	-1.6041666666666663
3	Cued	3.0	9622	0.3958333333333335
3	Cued	4.0	9630	-0.6041666666666665
3	Cued	2.0	9800	2.395833333333333
3	Cued	2.0	9900	-0.6041666666666665
3	Cued	2.0	9921	0.3958333333333335
2	Uncued	5.0	1930	1.3958333333333337
2	Uncued	1.0	2095	-0.6041666666666665
2	Uncued	1.0	2799	-0.6041666666666665
2	Uncued	n/a	2800	-0.6041666666666665
2	Uncued	1.0	3016	-1.6041666666666663
2	Uncued	4.0	3051	-0.6041666666666665
2	Uncued	1.0	3170	-1.6041666666666663
2	Uncued	5.0	3225	-1.6041666666666663
2	Uncued	3.0	3230	1.3958333333333337
2	Uncued	2.0	3261	1.3958333333333337
2	Uncued	5.0	3301	0.3958333333333335
2	Uncued	2.0	6000	-1.6041666666666663
2	Uncued	1.0	6021	0.3958333333333335
2	Uncued	2.0	6242	-0.6041666666666665
2	Uncued	3.0	6315	2.395833333333333
2	Uncued	2.0	6550	1.3958333333333337
2	Uncued	1.0	9041	-0.6041666666666665
2	Uncued	4.0	9253	1.3958333333333337
2	Uncued	2.0	9254	0.3958333333333335
2	Uncued	2.0	9423	-1.6041666666666663
2	Uncued	3.0	9424	1.3958333333333337
2	Uncued	2.0	9425	-1.6041666666666663
2	Uncued	4.0	9571	0.3958333333333335
2	Uncued	1.0	9582	2.395833333333333
3	Uncued	2.0	1930	1.3958333333333337
3	Uncued	2.0	2095	-0.6041666666666665
3	Uncued	2.0	2799	-0.6041666666666665
3	Uncued	2.0	2800	-0.6041666666666665
3	Uncued	2.0	3016	-1.6041666666666663
3	Uncued	1.0	3051	-0.6041666666666665
3	Uncued	2.0	3170	-1.6041666666666663
3	Uncued	2.0	3225	-1.6041666666666663
3	Uncued	5.0	3230	1.3958333333333337
3	Uncued	3.0	3261	1.3958333333333337
3	Uncued	2.0	3301	0.3958333333333335
3	Uncued	3.0	6000	-1.6041666666666663
3	Uncued	1.0	6021	0.3958333333333335
3	Uncued	2.0	6242	-0.6041666666666665
3	Uncued	3.0	6315	2.395833333333333
3	Uncued	1.0	6550	1.3958333333333337
3	Uncued	2.0	9041	-0.6041666666666665
3	Uncued	4.0	9253	1.3958333333333337
3	Uncued	4.0	9254	0.3958333333333335
3	Uncued	2.0	9423	-1.6041666666666663
3	Uncued	2.0	9424	1.3958333333333337
3	Uncued	n/a	9425	-1.6041666666666663
3	Uncued	4.0	9571	0.3958333333333335
3	Uncued	2.0	9582	2.395833333333333
