session	condition	response	item	baseline
2	Cued	1.0	1112	-0.9583333333333336
2	Cued	3.0	1300	-0.9583333333333336
2	Cued	2.0	2095	1.0416666666666663
2	Cued	3.0	2717	-0.9583333333333336
2	Cued	3.0	2800	0.0416666666666665
2	Cued	4.0	3051	0.0416666666666665
2	Cued	4.0	3068	-0.9583333333333336
2	Cued	3.0	3170	1.0416666666666663
2	Cued	2.0	3215	-1.9583333333333333
2	Cued	4.0	3225	0.0416666666666665
2	Cued	4.0	3230	1.0416666666666663
2	Cued	1.0	6242	-0.9583333333333336
2	Cued	4.0	6315	0.0416666666666665
2	Cued	2.0	8485	-0.9583333333333336
2	Cued	2.0	9000	-1.9583333333333333
2	Cued	3.0	9050	1.0416666666666663
2	Cued	4.0	9254	0.0416666666666665
2	Cued	4.0	9405	0.0416666666666665
2	Cued	4.0	9410	1.0416666666666663
2	Cued	3.0	9423	0.0416666666666665
2	Cued	5.0	9571	2.0416666666666665
2	Cued	2.0	9622	0.0416666666666665
2	Cued	1.0	9630	-1.9583333333333333
2	Cued	3.0	9900	0.0416666666666665
3	Cued	3.0	1112	-0.9583333333333336
3	Cued	2.0	1300	-0.9583333333333336
3	Cued	2.0	2095	1.0416666666666663
3	Cued	2.0	2717	-0.9583333333333336
3	Cued	2.0	2800	0.0416666666666665
3	Cued	4.0	3051	0.0416666666666665
3	Cued	2.0	3068	-0.9583333333333336
3	Cued	3.0	3170	1.0416666666666663
3	Cued	2.0	3215	-1.9583333333333333
3	Cued	3.0	3225	0.0416666666666665
3	Cued	1.0	3230	1.0416666666666663
3	Cued	1.0	6242	-0.9583333333333336
3	Cued	4.0	6315	0.0416666666666665
3	Cued	4.0	8485	-0.9583333333333336
3	Cued	1.0	9000	-1.9583333333333333
3	Cued	3.0	9050	1.0416666666666663
3	Cued	4.0	9254	0.0416666666666665
3	Cued	3.0	9405	0.0416666666666665
3	Cued	4.0	9410	1.0416666666666663
3	Cued	3.0	9423	0.0416666666666665
3	Cued	5.0	9571	2.0416666666666665
3	Cued	2.0	9622	0.0416666666666665
3	Cued	1.0	9630	-1.9583333333333333
3	Cued	2.0	9900	0.0416666666666665
2	Uncued	2.0	1930	-0.9583333333333336
2	Uncued	3.0	2799	0.0416666666666665
2	Uncued	4.0	3016	1.0416666666666663
2	Uncued	2.0	3210	0.0416666666666665
2	Uncued	4.0	3261	1.0416666666666663
2	Uncued	5.0	3301	2.0416666666666665
2	Uncued	3.0	6000	-0.9583333333333336
2	Uncued	3.0	6021	0.0416666666666665
2	Uncued	4.0	6550	0.0416666666666665
2	Uncued	3.0	6560	-0.9583333333333336
2	Uncued	2.0	6834	0.0416666666666665
2	Uncued	3.0	9041	-0.9583333333333336
2	Uncued	3.0	9230	0.0416666666666665
2	Uncued	4.0	9252	1.0416666666666663
2	Uncued	4.0	9253	1.0416666666666663
2	Uncued	3.0	9301	0.0416666666666665
2	Uncued	3.0	9320	2.0416666666666665
2	Uncued	3.0	9420	0.0416666666666665
2	Uncued	4.0	9424	-0.9583333333333336
2	Uncued	2.0	9425	-0.9583333333333336
2	Uncued	3.0	9429	0.0416666666666665
2	Uncued	3.0	9582	1.0416666666666663
2	Uncued	3.0	9800	-0.9583333333333336
2	Uncued	4.0	9921	1.0416666666666663
3	Uncued	1.0	1930	-0.9583333333333336
3	Uncued	3.0	2799	0.0416666666666665
3	Uncued	2.0	3016	1.0416666666666663
3	Uncued	2.0	3210	0.0416666666666665
3	Uncued	4.0	3261	1.0416666666666663
3	Uncued	4.0	3301	2.0416666666666665
3	Uncued	1.0	6000	-0.9583333333333336
3	Uncued	4.0	6021	0.0416666666666665
3	Uncued	4.0	6550	0.0416666666666665
3	Uncued	2.0	6560	-0.9583333333333336
3	Uncued	2.0	6834	0.0416666666666665
3	Uncued	2.0	9041	-0.9583333333333336
3	Uncued	1.0	9230	0.0416666666666665
3	Uncued	4.0	9252	1.0416666666666663
3	Uncued	4.0	9253	1.0416666666666663
3	Uncued	4.0	9301	0.0416666666666665
3	Uncued	4.0	9320	2.0416666666666665
3	Uncued	3.0	9420	0.0416666666666665
3	Uncued	1.0	9424	-0.9583333333333336
3	Uncued	1.0	9425	-0.9583333333333336
3	Uncued	3.0	9429	0.0416666666666665
3	Uncued	2.0	9582	1.0416666666666663
3	Uncued	1.0	9800	-0.9583333333333336
3	Uncued	4.0	9921	1.0416666666666663
