session	condition	response	item	baseline
2	Cued	2.0	1112	-2.270833333333333
2	Cued	3.0	1300	-1.270833333333333
2	Cued	1.0	1930	-3.270833333333333
2	Cued	4.0	2799	-0.270833333333333
2	Cued	5.0	2800	0.729166666666667
2	Cued	4.0	3016	0.729166666666667
2	Cued	5.0	3068	0.729166666666667
2	Cued	2.0	3230	-0.270833333333333
2	Cued	5.0	3261	0.729166666666667
2	Cued	3.0	6000	0.729166666666667
2	Cued	5.0	6242	0.729166666666667
2	Cued	5.0	6560	0.729166666666667
2	Cued	5.0	9000	-0.270833333333333
2	Cued	5.0	9041	0.729166666666667
2	Cued	4.0	9050	0.729166666666667
2	Cued	4.0	9252	0.729166666666667
2	Cued	2.0	9320	-0.270833333333333
2	Cued	5.0	9405	0.729166666666667
2	Cued	5.0	9410	0.729166666666667
2	Cued	5.0	9423	0.729166666666667
2	Cued	4.0	9622	-1.270833333333333
2	Cued	5.0	9800	0.729166666666667
2	Cued	4.0	9900	-1.270833333333333
2	Cued	4.0	9921	0.729166666666667
3	Cued	1.0	1112	-2.270833333333333
3	Cued	1.0	1300	-1.270833333333333
3	Cued	2.0	1930	-3.270833333333333
3	Cued	3.0	2799	-0.270833333333333
3	Cued	5.0	2800	0.729166666666667
3	Cued	5.0	3016	0.729166666666667
3	Cued	5.0	3068	0.729166666666667
3	Cued	3.0	3230	-0.270833333333333
3	Cued	5.0	3261	0.729166666666667
3	Cued	1.0	6000	0.729166666666667
3	Cued	5.0	6242	0.729166666666667
3	Cued	4.0	6560	0.729166666666667
3	Cued	5.0	9000	-0.270833333333333
3	Cued	5.0	9041	0.729166666666667
3	Cued	2.0	9050	0.729166666666667
3	Cued	3.0	9252	0.729166666666667
3	Cued	1.0	9320	-0.270833333333333
3	Cued	5.0	9405	0.729166666666667
3	Cued	5.0	9410	0.729166666666667
3	Cued	4.0	9423	0.729166666666667
3	Cued	n/a	9622	-1.270833333333333
3	Cued	5.0	9800	0.729166666666667
3	Cued	3.0	9900	-1.270833333333333
3	Cued	1.0	9921	0.729166666666667
2	Uncued	5.0	2095	-0.270833333333333
2	Uncued	5.0	2717	0.729166666666667
2	Uncued	5.0	3051	0.729166666666667
2	Uncued	5.0	3170	0.729166666666667
2	Uncued	2.0	3210	-0.270833333333333
2	Uncued	4.0	3215	-0.270833333333333
2	Uncued	5.0	3225	-0.270833333333333
2	Uncued	5.0	3301	0.729166666666667
2	Uncued	3.0	6021	0.729166666666667
2	Uncued	5.0	6315	-0.270833333333333
2	Uncued	5.0	6550	0.729166666666667
2	Uncued	5.0	6834	0.729166666666667
2	Uncued	5.0	8485	-0.270833333333333
2	Uncued	3.0	9230	-0.270833333333333
2	Uncued	5.0	9253	0.729166666666667
2	Uncued	4.0	9254	0.729166666666667
2	Uncued	2.0	9301	-1.270833333333333
2	Uncued	5.0	9420	0.729166666666667
2	Uncued	5.0	9424	-0.270833333333333
2	Uncued	3.0	9425	-1.270833333333333
2	Uncued	4.0	9429	-0.270833333333333
2	Uncued	3.0	9571	-2.270833333333333
2	Uncued	1.0	9582	-1.270833333333333
2	Uncued	5.0	9630	0.729166666666667
3	Uncued	3.0	2095	-0.270833333333333
3	Uncued	4.0	2717	0.729166666666667
3	Uncued	4.0	3051	0.729166666666667
3	Uncued	5.0	3170	0.729166666666667
3	Uncued	4.0	3210	-0.270833333333333
3	Uncued	2.0	3215	-0.270833333333333
3	Uncued	5.0	3225	-0.270833333333333
3	Uncued	5.0	3301	0.729166666666667
3	Uncued	3.0	6021	0.729166666666667
3	Uncued	4.0	6315	-0.270833333333333
3	Uncued	5.0	6550	0.729166666666667
3	Uncued	2.0	6834	0.729166666666667
3	Uncued	3.0	8485	-0.270833333333333
3	Uncued	3.0	9230	-0.270833333333333
3	Uncued	5.0	9253	0.729166666666667
3	Uncued	5.0	9254	0.729166666666667
3	Uncued	1.0	9301	-1.270833333333333
3	Uncued	4.0	9420	0.729166666666667
3	Uncued	4.0	9424	-0.270833333333333
3	Uncued	4.0	9425	-1.270833333333333
3	Uncued	4.0	9429	-0.270833333333333
3	Uncued	2.0	9571	-2.270833333333333
3	Uncued	2.0	9582	-1.270833333333333
3	Uncued	2.0	9630	0.729166666666667
