session	condition	response	item	baseline
2	Cued	3.0	1300	-0.978723404255319
2	Cued	2.0	1930	-1.978723404255319
2	Cued	5.0	2800	0.0212765957446809
2	Cued	5.0	3016	1.021276595744681
2	Cued	5.0	3051	1.021276595744681
2	Cued	4.0	3210	-0.978723404255319
2	Cued	4.0	3261	1.021276595744681
2	Cued	5.0	3301	1.021276595744681
2	Cued	4.0	6000	0.0212765957446809
2	Cued	4.0	6021	0.0212765957446809
2	Cued	3.0	6242	-0.978723404255319
2	Cued	4.0	6550	0.0212765957446809
2	Cued	5.0	8485	1.021276595744681
2	Cued	5.0	9000	0.0212765957446809
2	Cued	5.0	9050	-0.978723404255319
2	Cued	4.0	9230	0.0212765957446809
2	Cued	5.0	9252	1.021276595744681
2	Cued	5.0	9254	1.021276595744681
2	Cued	3.0	9301	-0.978723404255319
2	Cued	5.0	9420	1.021276595744681
2	Cued	5.0	9423	1.021276595744681
2	Cued	4.0	9425	0.0212765957446809
2	Cued	4.0	9622	0.0212765957446809
2	Cued	5.0	9800	0.0212765957446809
3	Cued	4.0	1300	-0.978723404255319
3	Cued	3.0	1930	-1.978723404255319
3	Cued	4.0	2800	0.0212765957446809
3	Cued	5.0	3016	1.021276595744681
3	Cued	5.0	3051	1.021276595744681
3	Cued	4.0	3210	-0.978723404255319
3	Cued	5.0	3261	1.021276595744681
3	Cued	5.0	3301	1.021276595744681
3	Cued	4.0	6000	0.0212765957446809
3	Cued	4.0	6021	0.0212765957446809
3	Cued	4.0	6242	-0.978723404255319
3	Cued	5.0	6550	0.0212765957446809
3	Cued	5.0	8485	1.021276595744681
3	Cued	5.0	9000	0.0212765957446809
3	Cued	5.0	9050	-0.978723404255319
3	Cued	4.0	9230	0.0212765957446809
3	Cued	5.0	9252	1.021276595744681
3	Cued	5.0	9254	1.021276595744681
3	Cued	5.0	9301	-0.978723404255319
3	Cued	5.0	9420	1.021276595744681
3	Cued	5.0	9423	1.021276595744681
3	Cued	4.0	9425	0.0212765957446809
3	Cued	5.0	9622	0.0212765957446809
3	Cued	5.0	9800	0.0212765957446809
2	Uncued	2.0	2799	n/a
2	Uncued	4.0	1112	-1.978723404255319
2	Uncued	4.0	2095	0.0212765957446809
2	Uncued	5.0	2717	-0.978723404255319
2	Uncued	4.0	3068	1.021276595744681
2	Uncued	5.0	3170	1.021276595744681
2	Uncued	3.0	3215	-0.978723404255319
2	Uncued	5.0	3225	1.021276595744681
2	Uncued	4.0	3230	0.0212765957446809
2	Uncued	5.0	6315	0.0212765957446809
2	Uncued	4.0	6560	0.0212765957446809
2	Uncued	5.0	6834	1.021276595744681
2	Uncued	4.0	9041	0.0212765957446809
2	Uncued	5.0	9253	1.021276595744681
2	Uncued	3.0	9320	-2.978723404255319
2	Uncued	4.0	9405	-0.978723404255319
2	Uncued	5.0	9410	1.021276595744681
2	Uncued	4.0	9424	0.0212765957446809
2	Uncued	4.0	9429	0.0212765957446809
2	Uncued	3.0	9571	0.0212765957446809
2	Uncued	3.0	9582	-1.978723404255319
2	Uncued	5.0	9630	1.021276595744681
2	Uncued	4.0	9900	0.0212765957446809
2	Uncued	5.0	9921	0.0212765957446809
3	Uncued	2.0	2799	n/a
3	Uncued	4.0	1112	-1.978723404255319
3	Uncued	3.0	2095	0.0212765957446809
3	Uncued	4.0	2717	-0.978723404255319
3	Uncued	5.0	3068	1.021276595744681
3	Uncued	5.0	3170	1.021276595744681
3	Uncued	4.0	3215	-0.978723404255319
3	Uncued	4.0	3225	1.021276595744681
3	Uncued	3.0	3230	0.0212765957446809
3	Uncued	5.0	6315	0.0212765957446809
3	Uncued	4.0	6560	0.0212765957446809
3	Uncued	4.0	6834	1.021276595744681
3	Uncued	3.0	9041	0.0212765957446809
3	Uncued	5.0	9253	1.021276595744681
3	Uncued	3.0	9320	-2.978723404255319
3	Uncued	5.0	9405	-0.978723404255319
3	Uncued	5.0	9410	1.021276595744681
3	Uncued	4.0	9424	0.0212765957446809
3	Uncued	3.0	9429	0.0212765957446809
3	Uncued	5.0	9571	0.0212765957446809
3	Uncued	2.0	9582	-1.978723404255319
3	Uncued	4.0	9630	1.021276595744681
3	Uncued	5.0	9900	0.0212765957446809
3	Uncued	5.0	9921	0.0212765957446809
