session	condition	response	item	baseline
2	Cued	2.0	1112	0.1666666666666665
2	Cued	3.0	1300	0.1666666666666665
2	Cued	2.0	1930	0.1666666666666665
2	Cued	3.0	3016	0.1666666666666665
2	Cued	2.0	3210	-0.8333333333333335
2	Cued	4.0	3225	0.1666666666666665
2	Cued	2.0	3230	-0.8333333333333335
2	Cued	3.0	3261	0.1666666666666665
2	Cued	3.0	3301	0.1666666666666665
2	Cued	3.0	6000	0.1666666666666665
2	Cued	2.0	6021	-0.8333333333333335
2	Cued	2.0	6242	-0.8333333333333335
2	Cued	3.0	6315	0.1666666666666665
2	Cued	2.0	6834	-0.8333333333333335
2	Cued	3.0	9041	0.1666666666666665
2	Cued	3.0	9252	1.1666666666666663
2	Cued	3.0	9301	-0.8333333333333335
2	Cued	3.0	9320	-0.8333333333333335
2	Cued	4.0	9423	-0.8333333333333335
2	Cued	3.0	9425	0.1666666666666665
2	Cued	2.0	9429	-0.8333333333333335
2	Cued	3.0	9571	0.1666666666666665
2	Cued	3.0	9630	-0.8333333333333335
2	Cued	3.0	9900	-0.8333333333333335
3	Cued	2.0	1112	0.1666666666666665
3	Cued	2.0	1300	0.1666666666666665
3	Cued	3.0	1930	0.1666666666666665
3	Cued	3.0	3016	0.1666666666666665
3	Cued	2.0	3210	-0.8333333333333335
3	Cued	3.0	3225	0.1666666666666665
3	Cued	2.0	3230	-0.8333333333333335
3	Cued	4.0	3261	0.1666666666666665
3	Cued	4.0	3301	0.1666666666666665
3	Cued	3.0	6000	0.1666666666666665
3	Cued	2.0	6021	-0.8333333333333335
3	Cued	2.0	6242	-0.8333333333333335
3	Cued	3.0	6315	0.1666666666666665
3	Cued	2.0	6834	-0.8333333333333335
3	Cued	2.0	9041	0.1666666666666665
3	Cued	3.0	9252	1.1666666666666663
3	Cued	3.0	9301	-0.8333333333333335
3	Cued	3.0	9320	-0.8333333333333335
3	Cued	3.0	9423	-0.8333333333333335
3	Cued	3.0	9425	0.1666666666666665
3	Cued	3.0	9429	-0.8333333333333335
3	Cued	3.0	9571	0.1666666666666665
3	Cued	2.0	9630	-0.8333333333333335
3	Cued	2.0	9900	-0.8333333333333335
2	Uncued	3.0	2095	0.1666666666666665
2	Uncued	3.0	2717	1.1666666666666663
2	Uncued	3.0	2799	0.1666666666666665
2	Uncued	3.0	2800	0.1666666666666665
2	Uncued	4.0	3051	1.1666666666666663
2	Uncued	3.0	3068	1.1666666666666663
2	Uncued	4.0	3170	1.1666666666666663
2	Uncued	2.0	3215	-0.8333333333333335
2	Uncued	3.0	6550	1.1666666666666663
2	Uncued	3.0	6560	1.1666666666666663
2	Uncued	3.0	8485	-0.8333333333333335
2	Uncued	3.0	9000	0.1666666666666665
2	Uncued	3.0	9050	0.1666666666666665
2	Uncued	3.0	9230	-0.8333333333333335
2	Uncued	4.0	9253	1.1666666666666663
2	Uncued	3.0	9254	0.1666666666666665
2	Uncued	4.0	9405	1.1666666666666663
2	Uncued	4.0	9410	0.1666666666666665
2	Uncued	3.0	9420	0.1666666666666665
2	Uncued	2.0	9424	-0.8333333333333335
2	Uncued	2.0	9582	0.1666666666666665
2	Uncued	2.0	9622	-0.8333333333333335
2	Uncued	3.0	9800	0.1666666666666665
2	Uncued	2.0	9921	-0.8333333333333335
3	Uncued	3.0	2095	0.1666666666666665
3	Uncued	3.0	2717	1.1666666666666663
3	Uncued	3.0	2799	0.1666666666666665
3	Uncued	3.0	2800	0.1666666666666665
3	Uncued	4.0	3051	1.1666666666666663
3	Uncued	4.0	3068	1.1666666666666663
3	Uncued	4.0	3170	1.1666666666666663
3	Uncued	n/a	3215	-0.8333333333333335
3	Uncued	3.0	6550	1.1666666666666663
3	Uncued	3.0	6560	1.1666666666666663
3	Uncued	2.0	8485	-0.8333333333333335
3	Uncued	3.0	9000	0.1666666666666665
3	Uncued	3.0	9050	0.1666666666666665
3	Uncued	2.0	9230	-0.8333333333333335
3	Uncued	4.0	9253	1.1666666666666663
3	Uncued	3.0	9254	0.1666666666666665
3	Uncued	4.0	9405	1.1666666666666663
3	Uncued	3.0	9410	0.1666666666666665
3	Uncued	4.0	9420	0.1666666666666665
3	Uncued	3.0	9424	-0.8333333333333335
3	Uncued	2.0	9582	0.1666666666666665
3	Uncued	2.0	9622	-0.8333333333333335
3	Uncued	3.0	9800	0.1666666666666665
3	Uncued	3.0	9921	-0.8333333333333335
