session	condition	response	item	baseline
2	Cued	3.0	1300	-0.6458333333333335
2	Cued	2.0	2717	0.3541666666666665
2	Cued	4.0	3051	1.3541666666666663
2	Cued	3.0	3210	-0.6458333333333335
2	Cued	2.0	3215	-0.6458333333333335
2	Cued	4.0	3225	-0.6458333333333335
2	Cued	3.0	3230	2.3541666666666665
2	Cued	4.0	3301	-1.6458333333333337
2	Cued	2.0	6000	-0.6458333333333335
2	Cued	4.0	6315	1.3541666666666663
2	Cued	1.0	6834	-0.6458333333333335
2	Cued	2.0	8485	1.3541666666666663
2	Cued	1.0	9000	-0.6458333333333335
2	Cued	4.0	9041	0.3541666666666665
2	Cued	2.0	9050	-1.6458333333333337
2	Cued	3.0	9253	1.3541666666666663
2	Cued	2.0	9254	-1.6458333333333337
2	Cued	5.0	9301	0.3541666666666665
2	Cued	4.0	9320	0.3541666666666665
2	Cued	4.0	9571	-0.6458333333333335
2	Cued	1.0	9582	-1.6458333333333337
2	Cued	2.0	9622	-0.6458333333333335
2	Cued	2.0	9630	-1.6458333333333337
2	Cued	2.0	9800	-1.6458333333333337
3	Cued	2.0	1300	-0.6458333333333335
3	Cued	1.0	2717	0.3541666666666665
3	Cued	5.0	3051	1.3541666666666663
3	Cued	3.0	3210	-0.6458333333333335
3	Cued	2.0	3215	-0.6458333333333335
3	Cued	4.0	3225	-0.6458333333333335
3	Cued	n/a	3230	2.3541666666666665
3	Cued	4.0	3301	-1.6458333333333337
3	Cued	1.0	6000	-0.6458333333333335
3	Cued	2.0	6315	1.3541666666666663
3	Cued	1.0	6834	-0.6458333333333335
3	Cued	2.0	8485	1.3541666666666663
3	Cued	n/a	9000	-0.6458333333333335
3	Cued	3.0	9041	0.3541666666666665
3	Cued	2.0	9050	-1.6458333333333337
3	Cued	3.0	9253	1.3541666666666663
3	Cued	3.0	9254	-1.6458333333333337
3	Cued	5.0	9301	0.3541666666666665
3	Cued	4.0	9320	0.3541666666666665
3	Cued	4.0	9571	-0.6458333333333335
3	Cued	2.0	9582	-1.6458333333333337
3	Cued	2.0	9622	-0.6458333333333335
3	Cued	2.0	9630	-1.6458333333333337
3	Cued	2.0	9800	-1.6458333333333337
2	Uncued	1.0	1112	-0.6458333333333335
2	Uncued	1.0	1930	-1.6458333333333337
2	Uncued	3.0	2095	0.3541666666666665
2	Uncued	1.0	2799	-0.6458333333333335
2	Uncued	4.0	2800	0.3541666666666665
2	Uncued	3.0	3016	1.3541666666666663
2	Uncued	5.0	3068	2.3541666666666665
2	Uncued	5.0	3170	2.3541666666666665
2	Uncued	5.0	3261	2.3541666666666665
2	Uncued	2.0	6021	-0.6458333333333335
2	Uncued	2.0	6242	0.3541666666666665
2	Uncued	4.0	6550	1.3541666666666663
2	Uncued	4.0	6560	1.3541666666666663
2	Uncued	2.0	9230	0.3541666666666665
2	Uncued	2.0	9252	-1.6458333333333337
2	Uncued	5.0	9405	1.3541666666666663
2	Uncued	3.0	9410	0.3541666666666665
2	Uncued	3.0	9420	-0.6458333333333335
2	Uncued	3.0	9423	-0.6458333333333335
2	Uncued	2.0	9424	0.3541666666666665
2	Uncued	3.0	9425	0.3541666666666665
2	Uncued	2.0	9429	-0.6458333333333335
2	Uncued	2.0	9900	-1.6458333333333337
2	Uncued	2.0	9921	0.3541666666666665
3	Uncued	1.0	1112	-0.6458333333333335
3	Uncued	1.0	1930	-1.6458333333333337
3	Uncued	4.0	2095	0.3541666666666665
3	Uncued	3.0	2799	-0.6458333333333335
3	Uncued	4.0	2800	0.3541666666666665
3	Uncued	3.0	3016	1.3541666666666663
3	Uncued	4.0	3068	2.3541666666666665
3	Uncued	5.0	3170	2.3541666666666665
3	Uncued	5.0	3261	2.3541666666666665
3	Uncued	2.0	6021	-0.6458333333333335
3	Uncued	1.0	6242	0.3541666666666665
3	Uncued	4.0	6550	1.3541666666666663
3	Uncued	4.0	6560	1.3541666666666663
3	Uncued	2.0	9230	0.3541666666666665
3	Uncued	2.0	9252	-1.6458333333333337
3	Uncued	5.0	9405	1.3541666666666663
3	Uncued	4.0	9410	0.3541666666666665
3	Uncued	2.0	9420	-0.6458333333333335
3	Uncued	3.0	9423	-0.6458333333333335
3	Uncued	2.0	9424	0.3541666666666665
3	Uncued	2.0	9425	0.3541666666666665
3	Uncued	3.0	9429	-0.6458333333333335
3	Uncued	2.0	9900	-1.6458333333333337
3	Uncued	2.0	9921	0.3541666666666665
